DATE/TIME,ADDRESS,CITY,COUNTY,AGENCY,RANK,OFFICER NAME,YRS EXP,INJURIES,CLEARED?,BODY CAM,RACE,SEX,NOTES
12/25/18 2:09 AM,LEIGH AVE & FRUITDALE AVE,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,OFFICER,MITCHELL STIMSON,,,4/5/2019,,,,
12/25/18 2:09 AM,LEIGH AVE & FRUITDALE AVE,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,OFFICER,MARK KOSKA,,,4/5/2019,,,,
12/10/18 8:47 AM,450 LINCOLN AVE,REDWOOD CITY,SAN MATEO,REDWOOD CITY POLICE DEPARTMENT,,,,,,,,,
12/5/18 9:33 AM,ADELAIDE DRIVE & PACHECO BLVD,PACHECO,CONTRA COSTA,CONTRA COSTA COUNTY SHERIFF'S OFFICE,DEPUTY,MATTHEW GAUTHIER,8,NONE,,,,,
12/5/18 1:50 AM,696 STONEHOUSE DRIVE,NAPA,NAPA,NAPA POLICE DEPARTMENT,OFFICER,CHRISTOPHER SIMAS,,,,ON,,M,
11/23/18 10:06 AM,2800 BARROW CT,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,,,,,,,,,
11/15/18 9:00 PM,24000 O'NEIL AVE,HAYWARD,ALAMEDA,HAYWARD POLICE DEPARTMENT,OFFICER,PHILLIP WOOLEY,28,NONE,,ON,,M,
11/15/18 9:00 PM,24000 O'NEIL AVE,HAYWARD,ALAMEDA,HAYWARD POLICE DEPARTMENT,OFFICER,MICHAEL CLARK,11,NONE,,ON,,M,
11/3/18 11:03 AM,DIABLO ROAD & FRONT ST,DANVILLE,CONTRA COSTA,CONTRA COSTA COUNTY SHERIFF'S OFFICE,DEPUTY,ANDREW HALL,5,NONE,,,,M,
11/1/18 4:25 PM,22ND AVE & INTERNATIONAL BLVD,OAKLAND,ALAMEDA,VALLEJO POLICE DEPARTMENT,OFFICER,MATT KOMODA,,NONE,,,,,
11/1/18 4:25 PM,22ND AVE & INTERNATIONAL BLVD,OAKLAND,ALAMEDA,VALLEJO POLICE DEPARTMENT,OFFICER,JAMES DUNCAN,,NONE,,,,,
11/1/18 4:25 PM,22ND AVE & INTERNATIONAL BLVD,OAKLAND,ALAMEDA,VALLEJO POLICE DEPARTMENT,SGT.,GEORGE SIMPSON,,NONE,,,,,
10/22/18 5:52 PM,100 CAROLYN DRIVE,PITTSBURG,CONTRA COSTA,PITTSBURG POLICE DEPARTMENT,SGT.,WILLIAM HATCHER,,,,,,,
10/22/18 5:52 PM,100 CAROLYN DRIVE,PITTSBURG,CONTRA COSTA,PITTSBURG POLICE DEPARTMENT,SGT.,GABRIEL PALMA,,,,,,,
10/22/18 5:52 PM,100 CAROLYN DRIVE,PITTSBURG,CONTRA COSTA,PITTSBURG POLICE DEPARTMENT,SGT.,CHARLES BLAZER,,,,,,,
